date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2022-11-30,Tunisia,France,72,86,75,84,72,83,30,4,1507.54,1759.78,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-11-30,Australia,Denmark,72,78,72,83,71,80,38,10,1488.72,1666.57,FIFA World Cup,Al Wakrah,Qatar,TRUE
2022-11-30,Poland,Argentina,80,85,76,83,76,83,26,3,1548.59,1773.88,FIFA World Cup,Doha,Qatar,TRUE
2022-11-30,Saudi Arabia,Mexico,71,79,72,77,71,76,51,13,1437.78,1644.89,FIFA World Cup,Lusail,Qatar,TRUE
2022-12-01,Croatia,Belgium,83,82,82,83,78,81,12,2,1645.64,1816.71,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-12-01,Canada,Morocco,75,76,78,74,72,78,41,22,1475,1563.5,FIFA World Cup,Doha,Qatar,TRUE
2022-12-01,Japan,Spain,75,84,78,85,76,84,24,7,1559.54,1715.22,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-12-01,Costa Rica,Germany,77,84,73,85,73,83,31,11,1503.59,1650.21,FIFA World Cup,Al Khor,Qatar,TRUE
2022-12-02,South Korea,Portugal,78,83,73,85,75,84,28,9,1530.3,1676.56,FIFA World Cup,Al Rayyan,Qatar,TRUE
2022-12-02,Ghana,Uruguay,75,82,76,81,74,80,61,14,1393,1638.71,FIFA World Cup,Al Wakrah,Qatar,TRUE
2022-12-02,Serbia,Switzerland,80,77,80,78,75,78,21,15,1563.62,1635.92,FIFA World Cup,Doha,Qatar,TRUE
2022-12-02,Cameroon,Brazil,75,85,75,85,73,83,43,1,1471.44,1841.3,FIFA World Cup,Lusail,Qatar,TRUE
