date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_score,away_score,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2020-11-18,Republic of Ireland,Bulgaria,73,70,72,67,78,68,0,0,36,66,1467,1354,UEFA Nations League,Dublin,Republic of Ireland,FALSE
2020-11-18,Wales,Finland,70,74,75,68,72,67,3,1,20,55,1550,1402,UEFA Nations League,Cardiff,Wales,FALSE
2021-03-24,Belgium,Wales,86,70,83,75,80,74,3,1,1,18,1780,1562,FIFA World Cup qualification,Leuven,Belgium,FALSE
2021-03-24,Turkey,Netherlands,76,80,77,82,76,83,4,2,32,14,1487,1609,FIFA World Cup qualification,Istanbul,Turkey,FALSE
2021-03-25,Spain,Greece,83,72,84,74,83,72,1,1,6,53,1645,1413,FIFA World Cup qualification,Granada,Spain,FALSE
2021-03-25,Bulgaria,Switzerland,69,75,67,79,67,77,1,3,68,16,1350,1593,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
2021-03-25,Italy,Northern Ireland,83,65,82,70,82,71,2,0,10,45,1625,1440,FIFA World Cup qualification,Parma,Italy,FALSE
2021-03-25,Scotland,Austria,71,82,76,78,76,78,2,2,48,23,1436,1531,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2021-03-25,Hungary,Poland,70,80,72,75,72,73,3,3,40,19,1460,1559,FIFA World Cup qualification,Budapest,Hungary,FALSE
2021-03-25,Germany,Iceland,84,71,84,72,82,69,3,0,13,46,1610,1438,FIFA World Cup qualification,Duisburg,Germany,FALSE
2021-03-26,Chile,Bolivia,77,65,76,66,75,65,2,1,17,79,1567,1307,Friendly,Rancagua,Chile,FALSE
2021-03-27,Wales,Mexico,70,81,75,77,74,76,1,0,18,9,1562,1632,Friendly,Cardiff,Wales,FALSE
2021-03-27,Czech Republic,Belgium,77,85,76,81,77,79,1,1,42,1,1456,1780,FIFA World Cup qualification,Prague,Czech Republic,FALSE
2021-03-27,Norway,Turkey,79,76,76,77,74,76,0,3,44,32,1450,1487,FIFA World Cup qualification,Málaga,Spain,TRUE
